Aspect,Mentions,Avg Sentiment,Category,Positive %,Negative %,Positive Count,Negative Count
Service Quality,133,0.397891827262128,Very Positive,75.93984962406014,9.022556390977442,101,12
Repair Quality,52,0.403602688977689,Very Positive,71.15384615384616,5.769230769230769,37,3
Location Facility,33,0.3954192903056539,Very Positive,69.6969696969697,9.090909090909092,23,3
Pricing,30,0.1139657407407407,Positive,50.0,23.333333333333332,15,7
Cleanliness,23,0.44608954451345756,Very Positive,78.26086956521739,4.3478260869565215,18,1
Parts Availability,21,0.3008585858585859,Very Positive,76.19047619047619,4.761904761904762,16,1
Expertise,18,0.2715046296296296,Positive,61.111111111111114,5.555555555555555,11,1
Time Efficiency,14,0.16093073593073592,Positive,57.14285714285714,14.285714285714285,8,2
Communication,3,0.39333333333333337,Very Positive,66.66666666666666,0.0,2,0
Warranty,2,0.35,Very Positive,50.0,0.0,1,0
